site_id,basin,visit_date,date_label,treatment,survey_type,species,stage,capture_animal_state,tad_stage,swab_id,bd_load,year_std,num_days
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,33,RKS10115,0,0,2
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10138,56784,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,40,RKS10139,126383.99999999999,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,44,RKS10140,1220064,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,44,RKS10141,27312.000000000004,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,44,RKS10142,4704,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,44,RKS10143,12816,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,42,RKS10144,86112,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,42,RKS10145,78912,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,42,RKS10146,246336,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10147,77472,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10148,58991.99999999999,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10149,32880,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10150,91872,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10151,102768,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10152,56112,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10153,132048,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10154,81840,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,43,RKS10155,42480,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,36,RKS10156,77136,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,35,RKS10157,16560,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10158,234576,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,43,RKS10159,2160,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,42,RKS10160,20687.999999999996,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10161,709152,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,42,RKS10162,19440,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10163,401184,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,35,RKS10164,34512,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,42,RKS10165,148464,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,35,RKS10166,85776,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10167,308832,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10168,16320,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10169,101088,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10170,79296,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10171,153456,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10172,98976,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,36,RKS10173,2928,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,41,RKS10174,192576,0,0
11506,dusy,2010-07-27,1_experiment,treated,swab,ramu,tadpole,healthy,36,RKS10175,148896,0,0
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,34,RKS10176,5760,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,34,RKS10177,92880,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10178,230352,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,42,RKS10179,68784,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10180,361584,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10181,492960,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10182,150048,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10183,72576,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,43,RKS10184,135456,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10185,124512,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,44,RKS10186,417407.99999999994,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10187,83616.00000000001,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10188,81456,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10189,396528,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10190,187872,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10191,37344,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10192,631824,0,2
