sample_id,plate_id,site_id,pre_post,tmt,replicate,bd_load
AJF142,37,11526,post,treated,2,15086.9
AJF142,38,11526,post,treated,3,10085.98
AJF143,36,11526,post,treated,1,14716.24
AJF143,37,11526,post,treated,2,12397.58
AJF143,38,11526,post,treated,3,18894.48
AJF148,36,11506,post,treated,1,0
AJF148,37,11506,post,treated,2,41473.8
AJF148,38,11506,post,treated,3,0
AJF149,36,11506,post,treated,1,3500.31
AJF149,37,11506,post,treated,2,0
AJF149,38,11506,post,treated,3,1179.71
AJF150,36,11506,post,treated,1,2320.8
AJF150,37,11506,post,treated,2,11838.84
AJF150,38,11506,post,treated,3,0
AJF151,36,11506,post,treated,1,201
AJF151,37,11506,post,treated,2,72.91
AJF151,38,11506,post,treated,3,177.57
AJF152,36,11506,post,treated,1,12866.69
AJF152,37,11506,post,treated,2,15817.66
AJF152,38,11506,post,treated,3,9480.77
AJF153,36,11506,post,treated,1,8197.04
AJF153,37,11506,post,treated,2,10765.05
AJF153,38,11506,post,treated,3,4359.81
